###,Year,Species,Hours,Hens_n,Broods_n,Chicks_n,Breed.succ,Brood.freq,Brood.size,NHT,T.av_winter,Prec_winter,SnowDepth,NAO_w,T.8w.Pre,SnowFree,T.4w.Post,P.4w.Post,Larvae,BB_t-1,T_JJA_t-12,Voles,Fox_Lambda,Foxes,Grouse_t-23,YoungHen,DensHen
46,1983,BG,169,37,14,52,1.41,0.378,3.71,0.168,-3.27,1.154,20.4,3.42,5.14,14,8.02,2.16,7.8,2.0,14.30,7.0,0.014,9.5,13.17,0.360,2.19
47,1984,BG,129,44,23,79,1.80,0.523,3.43,-0.085,-5.13,1.262,41.0,1.60,4.15,17,7.31,2.93,11.9,3.5,15.15,14.7,-0.214,5.8,11.07,0.436,3.41
48,1985,BG,41,17,10,29,1.71,0.588,2.90,-0.131,-7.14,1.512,36.8,-0.63,3.36,35,9.66,3.17,NA,2.6,14.81,0.4,0.123,7.7,10.52,0.497,4.15
49,1986,BG,153,50,32,118,2.36,0.640,3.69,0.026,-8.30,1.291,46.7,0.50,3.81,31,10.52,0.50,12.1,2.7,14.19,7.1,-0.424,2.9,13.37,0.484,3.27
50,1987,BG,33,18,12,41,2.28,0.667,3.42,0.153,-8.97,1.220,54.5,-0.75,2.97,32,8.29,4.12,26.0,1.0,14.19,22.0,-0.161,2.0,20.18,0.565,5.45
51,1988,BG,134,53,27,98,1.85,0.509,3.63,0.233,-3.27,1.725,35.2,0.72,3.05,31,11.59,1.21,5.1,2.3,13.56,23.6,-0.046,1.8,24.58,0.556,3.96
52,1989,BG,122,30,16,51,1.70,0.533,3.19,0.164,-0.37,1.360,4.7,5.08,2.46,-3,8.43,1.63,13.8,3.2,14.07,2.3,0.313,3.7,29.51,0.504,2.46
53,1990,BG,81,26,9,31,1.19,0.346,3.44,0.412,-0.14,1.408,0.8,3.96,3.56,-16,8.65,4.26,NA,1.9,14.81,4.5,-0.091,3.0,29.47,0.483,3.21
54,1991,BG,76,10,8,21,2.10,0.800,2.63,0.316,-3.59,1.017,30.2,1.03,1.28,3,7.83,4.78,NA,1.4,14.29,6.1,-0.155,2.1,21.12,0.396,1.32
55,1992,BG,116,28,19,57,2.04,0.679,3.00,0.074,-0.91,0.684,4.0,3.28,4.15,19,8.27,0.73,NA,2.4,14.20,0.2,0.331,4.5,15.13,0.536,2.41
56,1993,BG,143,31,20,59,1.90,0.645,2.95,0.130,-1.92,0.850,8.5,2.67,4.13,26,6.41,1.26,NA,3.4,14.35,5.0,0.054,5.1,11.75,0.528,2.17
57,1994,BG,146,33,16,57,1.73,0.485,3.56,0.280,-6.69,1.641,50.8,3.03,2.76,24,7.07,0.94,NA,4.6,13.41,9.6,-0.017,4.9,13.41,0.511,2.26
58,1995,BG,117,23,9,29,1.26,0.391,3.22,0.470,-2.54,1.443,24.7,3.96,3.43,33,8.86,2.24,NA,2.4,13.78,5.9,0.017,5.1,15.43,0.487,1.97
59,1996,BG,96,7,5,19,2.71,0.714,3.80,0.175,-7.84,0.374,14.6,-3.78,2.83,18,8.78,4.11,NA,4.0,14.97,2.0,-0.106,4.0,13.82,0.409,0.73
60,1997,BG,146,23,15,53,2.30,0.652,3.53,0.456,-4.13,0.923,7.4,-0.17,2.64,-2,9.89,1.88,8.9,2.4,14.49,3.8,0.079,4.8,11.49,0.599,1.58
61,1998,BG,112,20,15,46,2.30,0.750,3.07,0.614,-1.95,1.436,6.0,0.72,4.39,7,8.93,3.68,NA,3.9,15.58,2.5,0.043,5.3,7.95,0.559,1.79
62,1999,BG,113,21,13,43,2.05,0.619,3.31,0.408,-2.88,1.612,18.5,1.70,3.18,20,9.46,4.04,NA,1.2,14.81,10.6,-0.193,3.4,8.41,0.558,1.86
63,2000,BG,132,25,13,37,1.48,0.520,2.85,0.404,-2.77,1.214,5.5,2.80,4.66,15,9.59,2.71,3.7,2.8,13.52,1.0,0.122,4.5,12.78,0.530,1.89
64,2001,BG,54,8,4,15,1.88,0.500,3.75,0.558,-4.22,1.716,18.9,-1.90,3.22,20,8.66,1.26,NA,1.0,13.79,2.8,-0.073,3.8,14.18,0.449,1.48
65,2002,BG,159,30,17,68,2.27,0.567,4.00,0.593,-3.77,1.755,16.1,0.76,4.92,11,9.82,4.07,10.4,4.9,13.92,26.9,-0.088,3.1,12.89,0.508,1.89
66,2003,BG,116,24,15,49,2.04,0.625,3.27,0.642,-5.23,0.617,30.8,0.20,3.38,14,10.29,2.72,7.1,3.3,15.28,6.0,0.208,5.0,11.32,0.555,2.07
67,2004,BG,124,16,8,27,1.69,0.500,3.38,0.604,-3.09,1.175,25.2,-0.07,4.77,7,8.29,4.35,0.6,4.6,15.72,8.3,-0.237,2.9,11.50,0.529,1.29
68,2005,BG,145,43,28,91,2.12,0.651,3.25,0.724,-2.18,1.253,8.5,0.12,2.12,11,9.57,1.17,4.2,1.1,14.80,2.1,0.056,3.3,11.86,0.481,2.97
69,2006,BG,100,25,16,59,2.36,0.640,3.69,0.676,-5.27,1.424,37.0,-1.09,4.65,31,12.04,2.69,1.8,3.2,14.73,3.2,-0.104,2.6,9.81,0.538,2.50
70,2007,BG,102,34,23,81,2.38,0.676,3.52,0.713,-1.24,2.194,11.9,2.79,4.01,20,10.14,2.47,4.0,3.4,16.17,11.7,-0.053,2.3,12.69,0.565,3.33
71,2008,BG,123,40,29,96,2.40,0.725,3.31,0.569,-0.86,2.601,6.3,2.10,4.17,12,9.22,1.47,18.8,3.1,16.30,1.1,0.101,2.9,18.67,0.567,3.25
72,2009,BG,116,35,20,71,2.03,0.571,3.55,0.594,-4.11,1.379,29.2,-0.41,4.17,17,9.83,0.77,16.2,1.6,15.39,5.3,-0.015,2.8,22.94,0.569,3.02
73,2010,BG,125,32,21,79,2.47,0.656,3.76,0.740,-8.13,1.142,38.3,-4.64,2.84,24,9.28,3.89,12.0,4.4,15.16,20.4,0.084,3.4,24.72,0.527,2.56
74,2011,BG,99,22,10,25,1.14,0.455,2.50,0.575,-8.45,1.111,50.8,-1.57,4.78,15,11.36,3.43,4.2,2.6,15.21,10.9,0.131,4.6,21.01,0.576,2.22
75,2012,BG,79,17,7,15,0.88,0.412,2.14,0.627,-2.01,1.398,15.1,3.17,4.19,-2,9.74,2.19,8.8,1.8,15.56,3.6,0.036,5.0,18.38,0.385,2.15
76,2013,BG,106,21,13,44,2.10,0.619,3.38,0.674,-6.55,0.923,29.5,-1.97,5.63,24,10.58,3.33,9.5,3.2,14.89,17.8,-0.018,4.8,14.76,0.327,1.98
77,2014,BG,93,25,14,54,2.16,0.560,3.86,0.779,0.31,2.545,11.2,3.10,3.96,-9,9.38,1.69,8.2,4.6,14.92,34.1,-0.137,3.5,11.32,0.535,2.69
78,2015,BG,123,32,15,40,1.25,0.469,2.67,1.033,-1.60,1.665,17.1,3.56,3.23,20,9.24,1.93,3.2,3.0,16.00,3.6,0.109,4.5,12.41,0.543,2.60
79,2016,BG,49,11,7,28,2.55,0.636,4.00,1.064,-2.42,1.680,11.4,0.98,4.61,3,10.21,1.75,10.5,3.4,15.45,17.7,-0.051,4.0,15.31,0.407,2.24
80,2017,BG,36,9,5,21,2.33,0.556,4.20,0.921,-1.59,1.046,5.2,1.47,2.97,31,10.13,1.48,9.8,4.2,15.05,35.3,0.138,5.5,14.96,0.583,2.50
81,2018,BG,78,21,12,42,2.00,0.571,3.50,0.795,-4.98,1.403,53.0,0.30,6.49,31,10.81,1.08,3.7,3.9,15.15,8.9,-0.016,5.3,15.38,0.562,2.69
82,2019,BG,84,19,12,36,1.89,0.632,3.00,0.972,-3.15,1.831,32.8,2.09,3.72,25,10.23,2.22,6.4,1.3,14.90,3.8,0.054,6.0,18.25,0.524,2.26
